highchart_prov_id,provinsi
ID07,Jawa Tengah
ID14,Kalimantan Timur
ID12,Kalimantan Selatan
ID11,Kalimantan Barat
ID42,Kalimantan Utara
ID08,Jawa Timur
ID36,Papua
ID13,Kalimantan Tengah
ID26,Sumatera Utara
ID33,Banten
ID38,Sulawesi Selatan
ID37,Riau
ID05,Jambi
ID15,Lampung
ID28,Maluku
ID39,Papua Barat
ID17,Nusa Tenggara Barat
ID01,Aceh
ID41,Sulawesi Barat
ID30,Jawa Barat
ID24,Sumatera Barat
ID32,Sumatera Selatan
ID35,Bangka-Belitung
ID03,Bengkulu
ID21,Sulawesi Tengah
ID22,Sulawesi Tenggara
ID10,Yogyakarta
ID34,Gorontalo